RapidScan|RapidScan|PeneTestFrameWorks|https://github.com/skavngr/rapidscan|git|git,python|🆕 The Multi-Tool Web Vulnerability Scanner.|
fsociety|fsociety|PeneTestFrameWorks|https://github.com/Manisso/fsociety|git|python,git|A Penetration Testing Framework, you will have every script that a hacker needs. Works with Python 2.|
Astra|Astra|PeneTestFrameWorks|https://github.com/flipkart-incubator/Astra|git|python,git|REST API penetration testing is complex due to continuous changes in existing APIs and newly added APIs.|
Nettacker|Nettacker|PeneTestFrameWorks|https://github.com/OWASP/Nettacker|git|python,git|OWASP Nettacker project is created to automate information gathering, vulnerability scanning and eventually generating a report for networks, including services, bugs, vulnerabilities, misconfigurations, and other information.|
BabySploit|BabySploit|PeneTestFrameWorks|https://github.com/M4cs/BabySploit|git|git,python|BabySploit is a penetration testing toolkit aimed at making it easy to learn how to use bigger, more complicated frameworks like Metasploit.|
HackerPro|HackerPro|PeneTestFrameWorks|https://github.com/jaykali/hackerpro|git|python,git|All in One Hacking Tool for Linux & Android (Termux). Make your linux environment into a Hacking Machine. Hackers are welcome in our blog|
GhostFramework|GhostFramework|PeneTestFrameWorks|https://github.com/jaykali/ghost|git|python,git|Ghost Framework is an Android post-exploitation framework that exploits the Android Debug Bridge to remotely access an Android device. Ghost Framework gives you the power and convenience of remote Android device administration.|
Overlord|Overlord|PeneTestFrameWorks|https://github.com/qsecure-labs/overlord|git|python,git|Overlord - Red Teaming Infrastructure Automation|
3klCon|3klCon|PeneTestFrameWorks|https://github.com/eslam3kl/3klCon|git|python,git|Automation Recon tool which works with Large & Medium scopes. It performs more than 20 tasks and gets back all the results in separated files.|
Watchdog|Watchdog|PeneTestFrameWorks|https://github.com/flipkart-incubator/watchdog|git|python,node,php,ruby,git|**Watchog** is an integration of open source security tools aimed to provide a holistic security view for a given domain/IP. The way Watchdog is built, it can be used by product security teams, red teams and also by bug bounty hunters to get a 360° view of any Internet property it scans.|
RapidPayload|RapidPayload|PeneTestFrameWorks|https://github.com/AngelSecurityTeam/RapidPayload|git|python,git|Framework RapidPayload - Metasploit Payload Generator|
DarkSpiritz|DarkSpiritz|PeneTestFrameWorks|https://github.com/M4cs/DarkSpiritz|git|python|🌔 Official Repository for DarkSpiritz Penetration Framework|
pentestingframework|pntesting-framework|PeneTestFrameWorks|https://github.com/abhackerofficial/pentesting-framework|git|git,nodephp,git|Pentesting Framework is a bundle of penetration testing tools, Includes - security, pentesting, hacking and many more.|
TheXFramework|TheXFramework|PeneTestFrameWorks|https://github.com/r3dxpl0it/TheXFramework|git|python,lua,node|Network/WebApplication Information Gathering, Enumeration and Vulnerability Scanning (Under Development)|
FrameDomain|FrameDomain|PeneTestFrameWorks|https://github.com/AngelSecurityTeam/FrameDomain|git|python,git|FrameDomain Framework - subdomains enumeration tool for penetration testers|
DracOS_VENOMIZER|DracOS_VENOMIZER|PeneTestFrameWorks|https://github.com/faizH3/DracOS_VENOMIZER|git|git,python|Penetration Tools List|
GHunt|GHunt|OsintFrameWorks|https://github.com/mxrch/GHunt|git|git,python|🕵️‍♂️ Offensive Google framework.
PhoneInfoga|PhoneInfoga|OsintFrameWorks|https://github.com/sundowndev/phoneinfoga|git|go,git|PhoneInfoga is one of the most advanced tools to scan international phone numbers.|
Scrummage|Scrummage|OsintFrameWorks|https://github.com/matamorphosis/Scrummage|git|git,node,python|
operative-framework|operative-framework|OsintFrameWorks|https://github.com/graniet/operative-framework|git|go,node,git|operative framework is a digital investigation framework, you can interact with multiple targets, execute multiple modules, create links with target, export rapport to PDF file, add note to target or results, interact with RESTFul API, write your own modules.|
